job_title,occupation,records
機械工程師,01,1
機械作業員                              ,01,1
機電人員                                ,01,1
機電工程師,01,4
機電主任,01,4
機電技術員                              ,01,1
機電設計師                              ,01,1
機電部副理                              ,01,1
辦事員                                  ,01,2
辦事處主任,01,1
鋼筋工                                  ,01,1
鋼筋綁紮                                ,01,1
檢測工程師,01,1
檢測師                                  ,01,1
營建工程師,01,1
營造工程師                              ,01,1
營造建築相關工程師                      ,01,26
營業專員,01,1
營繕工程師                              ,01,1
環工                                    ,01,1
環安工程師,01,1
環保專責組長                            ,01,1
環境工程師                              ,01,2
環境管理師                              ,01,1
總工程司                                ,01,1
總工程師                                ,01,1
總務                                    ,01,6
總務/會計                               ,01,1
總務會計,01,1
總務課長,01,1
總務櫃檯                                ,01,1
總裁                                    ,01,1
總會                                    ,01,1
總經理                                  ,01,13
總經理特助,01,1
總經理秘書                              ,01,1
總監,01,1
總機                                    ,01,1
襄理,01,10
櫃台秘書                                ,01,1
職安                                    ,01,1
職安人員                                ,01,5
職安工程師,01,2
職員,01,36
職業安全衛生管理人員,01,2
繪圖,01,5
繪圖人員                                ,01,5
繪圖工程師                              ,01,5
繪圖助理,01,3
繪圖員                                  ,01,17
繪圖專員                                ,01,2
繪圖規劃員,01,1
繪圖設計師,01,4
繪圖總監,01,1
鏟裝車駕駛,01,1
鏟裝車操作員                            ,01,1
顧主                                    ,01,1
顧問                                    ,01,3
鷹架工,01,1
,02,34
                                        ,02,13
(南開發部)助理工程師                    ,02,1
?務部副理,02,1
3DTechnicalDesigner                     ,02,1
3D美術設計                              ,02,1
Account Management                      ,02,1
Account Manager                         ,02,1
Accountant,02,1
Actuator specialist                     ,02,1
Admin                                   ,02,1
AI 工程師                               ,02,1
AI工程師,02,2
AM,02,1
APR工程師,02,1
Architect                               ,02,1
Assembly Engineer                       ,02,1
Assis. Sales Manager                    ,02,1
Assistant manager                       ,02,1
AssistantManager,02,1
BD Manager                              ,02,1
C.S                                     ,02,1
CE,02,1
CEO                                     ,02,3
CFO,02,1
Chief engineer                          ,02,1
CIM工程師                               ,02,2
CMP製程工程師                           ,02,1
Cnc工程師,02,3
CNC作業員,02,1
Cnc技師,02,2
CNC技術人員                             ,02,3
Cnc技術員                               ,02,1
CNC技術師                               ,02,2
CNC車床工程師                           ,02,1
CNC車床技術人員                         ,02,1
Cnc銑床工程師                           ,02,1
CNC銑床技師                             ,02,1
Cnc銑床技術員                           ,02,1
CNC操作員,02,2
CNC機台操作員                           ,02,1
cost center                             ,02,1
CSR,02,1
CSR專員                                 ,02,1
Customer_support_engineer               ,02,1
CustomerSupportEngineer                 ,02,1
Data Engineer                           ,02,1
DBA                                     ,02,2
Designer                                ,02,3
DL                                      ,02,1
DQA工程師,02,1
EHSengineer                             ,02,1
Engineer,02,10
Engineering                             ,02,1
EPM                                     ,02,1
Erp人員                                 ,02,1
ERP文書管理,02,1
ERP文書管理生管助理,02,1
ERP系統工程師                           ,02,1
ERP專員,02,1
ESD                                     ,02,1
ETE,02,2
FAE,02,3
FAE工程師                               ,02,1
FQC                                     ,02,2
GM,02,2
GPM                                     ,02,1
HR                                      ,02,7
HRBA                                    ,02,1
HRBP                                    ,02,2
HRM 管理師                              ,02,1
hr主任,02,1
HR高級事務員,02,1
HR經理                                  ,02,1
IC layout                               ,02,1
IC設計工程師,02,1
ID工程師                                ,02,1
IE,02,1
IE工程師,02,4
IE專員                                  ,02,1
INJ-PD                                  ,02,1
inside sales                            ,02,1
IQC                                     ,02,2
ISO管理師,02,2
IT,02,10
IT Manager                              ,02,1
IT 資深專理                             ,02,1
ITMIS,02,1
IT工程師                                ,02,3
KEYIN人員,02,1
LAYOUT設計工程師                        ,02,1
Leader,02,2
Legal,02,1
LSI管理師                               ,02,1
MANAGER,02,7
Manger,02,1
Marketing                               ,02,1
ME                                      ,02,1
MES工程師                               ,02,1
MIS                                     ,02,8
MIS資訊工程師                           ,02,1
MLCC/CR                                 ,02,1
MobileRobot設備工程師                   ,02,1
MQA資深工程師                           ,02,1
NB設計驗證工程師                        ,02,1
NC工程師                                ,02,1
Op                                      ,02,15
OP人員                                  ,02,1
OQC助理工程師                           ,02,1
PCC                                     ,02,1
PC軟體工程師                            ,02,1
PE                                      ,02,1
PM                                      ,02,30
PM/Sales,02,1
PMC經理,02,1
PM助理                                  ,02,1
PM副理,02,1
PM專案經理                              ,02,1
PM專案管理師,02,1
PQE                                     ,02,1
ProcessEngineer,02,1
Product Designer                        ,02,1
Production Scheduler                    ,02,1
Project manager                         ,02,1
ProjectManager                          ,02,1
PU作業員                                ,02,1
Pu熱壓作業員                            ,02,1
QA測試工程師,02,1
QC,02,1
QC spacialist                           ,02,1
QC品保,02,1
QE工程                                  ,02,1
QHSE                                    ,02,1
RA/QA Supervisor                        ,02,1
RD                                      ,02,7
RD ENG                                  ,02,1
RD工程師,02,2
RD研發人員                              ,02,1
RD研發助理                              ,02,1
RD專員                                  ,02,1
RD課長                                  ,02,1
RM                                      ,02,1
Rma維修工程師                           ,02,1
Run Plant Engineer                      ,02,1
sales,02,1
Sales engineer                          ,02,1
Sales rep                               ,02,1
Sales Representative                    ,02,2
sales support rep.                      ,02,1
SCM                                     ,02,1
SeniorElectricalEngineer                ,02,1
SKD組裝                                 ,02,1
SMT                                     ,02,1
SMT操機員                               ,02,1
Sr.ERPEngineer                          ,02,1
Sr.Mgr,02,1
Supervisor                              ,02,2
SVS                                     ,02,1
TA                                      ,02,2
TCM工程師                               ,02,1
TE                                      ,02,2
Technical Sales                         ,02,1
TechnicalTrainer                        ,02,1
Technicalwriter                         ,02,1
TPM                                     ,02,1
UI設計師                                ,02,1
vip.專員                                ,02,1
Watchmaker,02,1
ㄧ般職員                                ,02,6
一班職員                                ,02,2
一班職務,02,1
一級技術員                              ,02,3
一級專員                                ,02,3
一級業務（日、韓）                      ,02,1
一級管理師                              ,02,1
一級職員                                ,02,1
一般                                    ,02,3
一般人員,02,5
一般工程師                              ,02,1
一般行政                                ,02,8
一般行政人員,02,3
一般作業員,02,10
一般技術員                              ,02,1
一般受雇員工                            ,02,1
一般員                                  ,02,2
一般員工                                ,02,46
一般組員                                ,02,1
一般會計                                ,02,1
一般學徒                                ,02,1
一般操作員,02,1
一般職員                                ,02,632
一等業務                                ,02,1
二級工程師                              ,02,2
二級技術員                              ,02,1
二級專員                                ,02,1
二級管理師                              ,02,1
二專                                    ,02,1
二等工程師                              ,02,1
二等技術員                              ,02,1
人力資源,02,3
人力資源專員                            ,02,1
人力資源資深處長                        ,02,1
人力資源管理                            ,02,1
人力資源管理員                          ,02,1
人力資源管理師,02,2
人力營運處副理                          ,02,1
人事                                    ,02,21
人事/出納,02,1
人事行政                                ,02,1
人事行政專員                            ,02,1
人事助理,02,1
人事專員                                ,02,4
人事部股長                              ,02,1
人事部經理                              ,02,1
人事管理師,02,1
人事總務                                ,02,1
人員,02,2
人資,02,41
人資/總務                               ,02,1
人資主管                                ,02,1
人資主辦,02,1
人資行政,02,1
人資助理                                ,02,7
人資助理員                              ,02,1
人資員                                  ,02,2
人資專員                                ,02,17
人資經理                                ,02,1
人資管理師,02,4
人資總務                                ,02,2
刀具技術師,02,1
三級工程師                              ,02,1
土木技師                                ,02,1
大夜班技術員                            ,02,1
大貨車司機                              ,02,1
大圖輸出人員,02,1
大數據分析工程師,02,1
小老闆,02,1
小組長                                  ,02,5
工,02,3
工人,02,9
工匠師助理                              ,02,2
工地負責人                              ,02,1
工安                                    ,02,16
工安人員                                ,02,3
工安工程師,02,3
工安師                                  ,02,1
工安專員                                ,02,2
工作人員                                ,02,2
工作員,02,2
工長,02,1
工務,02,26
工務工程師                              ,02,1
工務助理                                ,02,3
工務技術員                              ,02,1
工務員                                  ,02,5
工務專員                                ,02,2
工務組長                                ,02,1
工務部工程師                            ,02,1
工務部經理                              ,02,1
工務經理                                ,02,2
工程                                    ,02,7
工程人員                                ,02,7
工程主任                                ,02,1
工程主管                                ,02,1
工程助理,02,21
工程助理技術人員                        ,02,1
工程技師                                ,02,2
工程技術員                              ,02,3
工程研發人員                            ,02,1
工程員                                  ,02,4
工程師,02,2525
工程師(B)                               ,02,1
工程師助理,02,14
工程師領班,02,1
工程採購                                ,02,1
工程組長,02,3
工程設計,02,2
工程部,02,1
工程部技術員                            ,02,1
工程部副理                              ,02,2
工程部組長                              ,02,1
工程部經理,02,1
工程業務                                ,02,2
工程經理                                ,02,1
工程繪圖                                ,02,1
工業工程師                              ,02,2
工業設計師                              ,02,5
工業設計專員                            ,02,1
工業製圖                                ,02,1
工管工程師                              ,02,2
工管課堆高機人員                        ,02,1
工廠會計                                ,02,1
工頭                                    ,02,1
工讀                                    ,02,1
工讀生                                  ,02,11
中班組長                                ,02,1
中區業務                                ,02,1
中區業務主任                            ,02,1
中國區執行長                            ,02,1
中控                                    ,02,1
中階                                    ,02,1
中階主管                                ,02,3
五級工程師,02,1
內部稽核                                ,02,2
內勤,02,15
內勤人員,02,1
內勤主管,02,1
內勤行政                                ,02,2
內勤作業員                              ,02,1
內勤助理,02,1
內勤員工                                ,02,1
內勤專員                                ,02,1
內勤業務,02,1
內勤業務助理                            ,02,1
內稽                                    ,02,1
內銷業務助理                            ,02,1
內銷營業人員                            ,02,1
公關助理,02,1
分光                                    ,02,1
分析工程師                              ,02,1
分析員                                  ,02,10
分析師                                  ,02,1
分析專員,02,1
分檢員                                  ,02,1
化ɪ品法規專員                          ,02,1
化工工程師                              ,02,1
化工分析員                              ,02,1
化學工程師,02,4
化學分析師                              ,02,2
化學師                                  ,02,3
化驗人員                                ,02,3
化驗打色人員                            ,02,1
化驗技術員                              ,02,1
化驗室經理                              ,02,1
天車                                    ,02,1
天車操作                                ,02,1
天線工程師                              ,02,1
引擎技師,02,4
手繪設計美編                            ,02,1
文件工程師                              ,02,1
文件管理,02,1
文件管理師                              ,02,2
文件管理辦事員                          ,02,1
文書                                    ,02,15
文書人員,02,2
文書行政                                ,02,1
文書助理                                ,02,7
文書員                                  ,02,1
文書處理                                ,02,2
文書處理員                              ,02,1
文書管理                                ,02,3
文管                                    ,02,7
文管人員,02,1
文管助理                                ,02,1
文管員,02,1
文管專員,02,1
方法設計工程師                          ,02,1
日文行銷人員                            ,02,1
日文事務助理                            ,02,1
日文秘書                                ,02,2
日文業務                                ,02,2
日文翻譯                                ,02,2
日文翻譯秘書                            ,02,1
日本區業務專員                          ,02,1
日本業務                                ,02,1
日班作業員                              ,02,1
日程管理專員,02,1
木工                                    ,02,7
木工師傅                                ,02,1
